UID,Year,Site,Zone,Quadrat,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Anemone,Antithamnion.defectum,Antithamnionella.spp.,Bangia.sp.,Barnacles,Blidingia,Bossiella_articulate,Bryozoan,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha.cannabina,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Dilsea.californica,Ectocarpus.commensalis,Ectocarpus.sp.,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hydroid,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.sp.,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma.grevillei,Mytilus.sp.,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Palmaria.mollis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Pododesmus.sp.,Pollicipes.polymerus,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Styela.sp.,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Tube.worms,Tunicata/Porifera,Ulva,Unknown.crust,Date,Meter.point,Sampler,Recorder,Bedrock,Boulder,Cobble,Sand.Gravel.Pebble,Water,SiteHeightYear,SUBSTRATE.ROCK,SUBSTRATE.SAND,WATER,Pebble,SAND.SCOUR,SUBSTRATE.Clam.shell,Shore_height_cm,Lat,Long
Fifth Beach LOW 2012 1,2012,Fifth Beach,LOW,1,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0.5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-07-05,1,SL,SL,100,NA,NA,2,1,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,166,51.6408522382712,-128.156659301138
Fifth Beach LOW 2012 10,2012,Fifth Beach,LOW,10,0,0,83,0,0.5,0,0,0,1,0,4,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10,0,3,0,20,0,0,0,0,0,0,0,11,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2012-07-05,24,SL,SL,100,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,211,51.6407643555966,-128.156962696069
Fifth Beach LOW 2012 2,2012,Fifth Beach,LOW,2,0,0,0,0,0,0,0,0,0.5,0,4,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.5,0,0,0,1,6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,25,0,0,0,0,0,0,0,0,0.5,0,17,0,3,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2012-07-05,2,SL,SL,100,NA,NA,present,7,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,152,51.640848447932,-128.156672402393
Fifth Beach LOW 2012 3,2012,Fifth Beach,LOW,3,0,0,5,0,0.5,0,0,0,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,5,2,2,35,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,2012-07-05,3,SL,SL,100,NA,NA,present,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,137,51.6408446485905,-128.156685502367
Fifth Beach LOW 2012 4,2012,Fifth Beach,LOW,4,0,0,15,0,0,0,0,0,0.5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2012-07-05,4,SL,SL,100,NA,NA,20,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,134,51.6408408582381,-128.156698602173
Fifth Beach LOW 2012 5,2012,Fifth Beach,LOW,5,0,0,6,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4,0,0,0,0,0,0,0,13,8,0,0,12,0,0,0,2,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2012-07-05,11,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,151,51.6408142897987,-128.156790305751
Fifth Beach LOW 2012 6,2012,Fifth Beach,LOW,6,0.5,0,90,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-07-05,13,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,137,51.6408067000782,-128.156816505492
Fifth Beach LOW 2012 7,2012,Fifth Beach,LOW,7,0,0,95,0,0,5,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2012-07-05,15,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,136,51.6407991103622,-128.156842706669
Fifth Beach LOW 2012 8,2012,Fifth Beach,LOW,8,0,0,93,0,4,0,0,0,3,0,10,8,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2012-07-05,16,LA,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,152,51.6407953199921,-128.156855806448
Fifth Beach LOW 2012 9,2012,Fifth Beach,LOW,9,0,0,80,0,3,0,0,0,0,0,10,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,8,0,8,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-07-05,22,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,200,51.6407725507895,-128.156934408468
